,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24,run_25,run_26
IN,0.016666666666666666,0.02,0.023333333333333334,0.02666666666666667,0.03,0.03333333333333333,0.03666666666666667,0.04,0.043333333333333335,0.04666666666666667,0.049999999999999996,0.05333333333333334,0.05666666666666667,0.06,0.06333333333333334,0.06666666666666667,0.06999999999999999,0.07333333333333333,0.07666666666666667,0.08,0.08333333333333333,0.08666666666666667,0.09000000000000001,0.09333333333333334,0.09666666666666666,0.09999999999999999,0.10333333333333333
1a,0.081708997195906,0.10381824087244149,0.12090005129494186,0.13955902298345038,0.15822736800216436,0.1768726232156488,0.19573956506085816,0.21452151566558883,0.23342500858696735,0.2521168828913755,0.27081828218077736,0.28953343931911996,0.30826019994081344,0.3269946822100449,0.34576134976476763,0.3645413662928832,0.38337432719639475,0.4022907628937429,0.421349858427823,0.4406273219944138,0.4602970252929835,0.4805998315709594,0.5017983731591108,0.5242438644841324,0.5484936252283964,0.5800780962846361,0.6255533125199133
1b,0.081708997195906,0.10381824087244149,0.12090005129494186,0.13955902298345038,0.15822736800216436,0.1768726232156488,0.19573956506085816,0.21452151566558883,0.23342500858696735,0.2521168828913755,0.27081828218077736,0.28953343931911996,0.30826019994081344,0.3269946822100449,0.34576134976476763,0.3645413662928832,0.38337432719639475,0.4022907628937429,0.421349858427823,0.4406273219944138,0.4602970252929835,0.4805998315709594,0.5017983731591108,0.5242438644841324,0.5484936252283964,0.5800780962846361,0.6255533125199133
1c,0.081708997195906,0.10381824087244149,0.12090005129494186,0.13955902298345038,0.15822736800216436,0.1768726232156488,0.19573956506085816,0.21452151566558883,0.23342500858696735,0.2521168828913755,0.27081828218077736,0.28953343931911996,0.30826019994081344,0.3269946822100449,0.34576134976476763,0.3645413662928832,0.38337432719639475,0.4022907628937429,0.421349858427823,0.4406273219944138,0.4602970252929835,0.4805998315709594,0.5017983731591108,0.5242438644841324,0.5484936252283964,0.5800780962846361,0.6255533125199133
1d,0.081708997195906,0.10381824087244149,0.12090005129494186,0.13955902298345038,0.15822736800216436,0.1768726232156488,0.19573956506085816,0.21452151566558883,0.23342500858696735,0.2521168828913755,0.27081828218077736,0.28953343931911996,0.30826019994081344,0.3269946822100449,0.34576134976476763,0.3645413662928832,0.38337432719639475,0.4022907628937429,0.421349858427823,0.4406273219944138,0.4602970252929835,0.4805998315709594,0.5017983731591108,0.5242438644841324,0.5484936252283964,0.5800780962846361,0.6255533125199133
2a,0.0643474060704081,0.08381772610602525,0.09756585591635887,0.11289189071901225,0.12822650032248092,0.14353829613489424,0.1590321510264272,0.1745215489628742,0.19009124016646378,0.20544976064542095,0.2208172775123546,0.23619901715919175,0.2515931128880598,0.266994274310539,0.2824265673532346,0.2978742271798413,0.31337388026788243,0.3289558840747,0.34468154865714007,0.36062606959696464,0.3769632220625169,0.39393163111824814,0.4117967631114509,0.43091003621473867,0.4518247819273276,0.4800776168919219,0.5222172053550032
2b,0.0643474060704081,0.08381772610602525,0.09756585591635887,0.11289189071901225,0.12822650032248092,0.14353829613489424,0.1590321510264272,0.1745215489628742,0.19009124016646378,0.20544976064542095,0.2208172775123546,0.23619901715919175,0.2515931128880598,0.266994274310539,0.2824265673532346,0.2978742271798413,0.31337388026788243,0.3289558840747,0.34468154865714007,0.36062606959696464,0.3769632220625169,0.39393163111824814,0.4117967631114509,0.43091003621473867,0.4518247819273276,0.4800776168919219,0.5222172053550032
2c,0.0643474060704081,0.08381772610602525,0.09756585591635887,0.11289189071901225,0.12822650032248092,0.14353829613489424,0.1590321510264272,0.1745215489628742,0.19009124016646378,0.20544976064542095,0.2208172775123546,0.23619901715919175,0.2515931128880598,0.266994274310539,0.2824265673532346,0.2978742271798413,0.31337388026788243,0.3289558840747,0.34468154865714007,0.36062606959696464,0.3769632220625169,0.39393163111824814,0.4117967631114509,0.43091003621473867,0.4518247819273276,0.4800776168919219,0.5222172053550032
RE,0.0643474060704081,0.08381772610602525,0.09756585591635887,0.11289189071901225,0.12822650032248092,0.14353829613489424,0.1590321510264272,0.1745215489628742,0.19009124016646378,0.20544976064542095,0.2208172775123546,0.23619901715919175,0.2515931128880598,0.266994274310539,0.2824265673532346,0.2978742271798413,0.31337388026788243,0.3289558840747,0.34468154865714007,0.36062606959696464,0.3769632220625169,0.39393163111824814,0.4117967631114509,0.43091003621473867,0.4518247819273276,0.4800776168919219,0.5222172053550032
Purge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
