,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24,run_25,run_26
IN,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31
1a,0.2451269915877211,0.31145472261732415,0.36270015388482474,0.4186770689503517,0.474682104006493,0.5306178696469487,0.587218695182576,0.6435645469967662,0.7002750257609032,0.756350648674123,0.8124548465423285,0.868600317957361,0.9247805998224412,0.9809840466301396,1.0372840492942992,1.0936240988786503,1.1501229815891854,1.2068722886812349,1.2640495752834697,1.3218819659832406,1.3808910758789483,1.4417994947128792,1.5053951194773338,1.5727315934523922,1.6454808756851997,1.740234288853906,1.8766599375597512
1b,0.2451269915877211,0.31145472261732415,0.36270015388482474,0.4186770689503517,0.474682104006493,0.5306178696469487,0.587218695182576,0.6435645469967662,0.7002750257609032,0.756350648674123,0.8124548465423285,0.868600317957361,0.9247805998224412,0.9809840466301396,1.0372840492942992,1.0936240988786503,1.1501229815891854,1.2068722886812349,1.2640495752834697,1.3218819659832406,1.3808910758789483,1.4417994947128792,1.5053951194773338,1.5727315934523922,1.6454808756851997,1.740234288853906,1.8766599375597512
1c,0.2451269915877211,0.31145472261732415,0.36270015388482474,0.4186770689503517,0.474682104006493,0.5306178696469487,0.587218695182576,0.6435645469967662,0.7002750257609032,0.756350648674123,0.8124548465423285,0.868600317957361,0.9247805998224412,0.9809840466301396,1.0372840492942992,1.0936240988786503,1.1501229815891854,1.2068722886812349,1.2640495752834697,1.3218819659832406,1.3808910758789483,1.4417994947128792,1.5053951194773338,1.5727315934523922,1.6454808756851997,1.740234288853906,1.8766599375597512
1d,0.2451269915877211,0.31145472261732415,0.36270015388482474,0.4186770689503517,0.474682104006493,0.5306178696469487,0.587218695182576,0.6435645469967662,0.7002750257609032,0.756350648674123,0.8124548465423285,0.868600317957361,0.9247805998224412,0.9809840466301396,1.0372840492942992,1.0936240988786503,1.1501229815891854,1.2068722886812349,1.2640495752834697,1.3218819659832406,1.3808910758789483,1.4417994947128792,1.5053951194773338,1.5727315934523922,1.6454808756851997,1.740234288853906,1.8766599375597512
2a,0.19304221821122747,0.25145317831807534,0.2926975677490759,0.33867567215703737,0.3846795009674427,0.43061488840468515,0.477096453079283,0.5235646468886223,0.5702737204993924,0.6163492819362594,0.6624518325370603,0.7085970514775765,0.75477933866418,0.8009828229316212,0.8472797020597006,0.8936226815395251,0.9401216408036488,0.9868676522241066,1.0340446459714216,1.0818782087908934,1.1308896661875476,1.1817948933547449,1.2353902893343542,1.2927301086442102,1.3554743457819927,1.4402328506757633,1.5666516160650215
2b,0.19304221821122747,0.25145317831807534,0.2926975677490759,0.33867567215703737,0.3846795009674427,0.43061488840468515,0.477096453079283,0.5235646468886223,0.5702737204993924,0.6163492819362594,0.6624518325370603,0.7085970514775765,0.75477933866418,0.8009828229316212,0.8472797020597006,0.8936226815395251,0.9401216408036488,0.9868676522241066,1.0340446459714216,1.0818782087908934,1.1308896661875476,1.1817948933547449,1.2353902893343542,1.2927301086442102,1.3554743457819927,1.4402328506757633,1.5666516160650215
2c,0.19304221821122747,0.25145317831807534,0.2926975677490759,0.33867567215703737,0.3846795009674427,0.43061488840468515,0.477096453079283,0.5235646468886223,0.5702737204993924,0.6163492819362594,0.6624518325370603,0.7085970514775765,0.75477933866418,0.8009828229316212,0.8472797020597006,0.8936226815395251,0.9401216408036488,0.9868676522241066,1.0340446459714216,1.0818782087908934,1.1308896661875476,1.1817948933547449,1.2353902893343542,1.2927301086442102,1.3554743457819927,1.4402328506757633,1.5666516160650215
RE,0.19304221821122747,0.25145317831807534,0.2926975677490759,0.33867567215703737,0.3846795009674427,0.43061488840468515,0.477096453079283,0.5235646468886223,0.5702737204993924,0.6163492819362594,0.6624518325370603,0.7085970514775765,0.75477933866418,0.8009828229316212,0.8472797020597006,0.8936226815395251,0.9401216408036488,0.9868676522241066,1.0340446459714216,1.0818782087908934,1.1308896661875476,1.1817948933547449,1.2353902893343542,1.2927301086442102,1.3554743457819927,1.4402328506757633,1.5666516160650215
Purge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
