,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24,run_25,run_26
IN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1a,0.005333776529054971,0.006737017566775283,0.007958429238446004,0.00915604106781443,0.010302088305681866,0.011430212967794506,0.012569806649229383,0.014182481731196624,0.015659045325211875,0.01684783144711087,0.018045282104011292,0.01926454837106328,0.02050473916494767,0.021749566132389223,0.023026846398459807,0.02432444326097048,0.025652817243537084,0.02700628785359975,0.028394929488739774,0.0297807281505726,0.031183263017018462,0.032600760623211655,0.03400696449624629,0.03538182463146883,0.036753228102489835,0.03951270434013014,0.043567098358120046
1b,0.005333776529054971,0.006737017566775283,0.007958429238446004,0.00915604106781443,0.010302088305681866,0.011430212967794506,0.012569806649229383,0.014182481731196624,0.015659045325211875,0.01684783144711087,0.018045282104011292,0.01926454837106328,0.02050473916494767,0.021749566132389223,0.023026846398459807,0.02432444326097048,0.025652817243537084,0.02700628785359975,0.028394929488739774,0.0297807281505726,0.031183263017018462,0.032600760623211655,0.03400696449624629,0.03538182463146883,0.036753228102489835,0.03951270434013014,0.043567098358120046
1c,0.005333776529054971,0.006737017566775283,0.007958429238446004,0.00915604106781443,0.010302088305681866,0.011430212967794506,0.012569806649229383,0.014182481731196624,0.015659045325211875,0.01684783144711087,0.018045282104011292,0.01926454837106328,0.02050473916494767,0.021749566132389223,0.023026846398459807,0.02432444326097048,0.025652817243537084,0.02700628785359975,0.028394929488739774,0.0297807281505726,0.031183263017018462,0.032600760623211655,0.03400696449624629,0.03538182463146883,0.036753228102489835,0.03951270434013014,0.043567098358120046
1d,0.005333776529054971,0.006737017566775283,0.007958429238446004,0.00915604106781443,0.010302088305681866,0.011430212967794506,0.012569806649229383,0.014182481731196624,0.015659045325211875,0.01684783144711087,0.018045282104011292,0.01926454837106328,0.02050473916494767,0.021749566132389223,0.023026846398459807,0.02432444326097048,0.025652817243537084,0.02700628785359975,0.028394929488739774,0.0297807281505726,0.031183263017018462,0.032600760623211655,0.03400696449624629,0.03538182463146883,0.036753228102489835,0.03951270434013014,0.043567098358120046
2a,0.04005695878005075,0.04673804709960773,0.054626819995611954,0.06249030559669064,0.07030382366504878,0.07809886712930353,0.0859846347180914,0.09418241513662606,0.10232658216621894,0.11018207593902013,0.11804729144085684,0.12593339269091966,0.13383891327045488,0.1417503819314015,0.14969641122152585,0.15765872148705387,0.16565371110056165,0.17367604549168525,0.18173154903010552,0.18978323294547098,0.1978508694779518,0.20593716152863462,0.2140101845915664,0.2220494811702567,0.23009091470462778,0.23951366312555858,0.25023931268794014
2b,0.04005695878005075,0.04673804709960773,0.054626819995611954,0.06249030559669064,0.07030382366504878,0.07809886712930353,0.0859846347180914,0.09418241513662606,0.10232658216621894,0.11018207593902013,0.11804729144085684,0.12593339269091966,0.13383891327045488,0.1417503819314015,0.14969641122152585,0.15765872148705387,0.16565371110056165,0.17367604549168525,0.18173154903010552,0.18978323294547098,0.1978508694779518,0.20593716152863462,0.2140101845915664,0.2220494811702567,0.23009091470462778,0.23951366312555858,0.25023931268794014
2c,0.0052717656540725655,0.006737629454481478,0.007959158695708653,0.009156005494805244,0.010302962274757979,0.011431270715255076,0.012650638306504671,0.014181563567907313,0.01565901038131488,0.016847795046883163,0.018046994573266358,0.019266388569150427,0.02050468937736818,0.02174953328028051,0.02302882583288918,0.024324405691612427,0.025652781014769754,0.027008625052523827,0.028397403622317456,0.029783357968349113,0.031183226112381463,0.032603693044474184,0.03401010719641809,0.03538183556752264,0.03675674492451199,0.039512680011990965,0.043571780725499755
RE,0.0052717656540725655,0.006737629454481478,0.007959158695708653,0.009156005494805244,0.010302962274757979,0.011431270715255076,0.012650638306504671,0.014181563567907313,0.01565901038131488,0.016847795046883163,0.018046994573266358,0.019266388569150427,0.02050468937736818,0.02174953328028051,0.02302882583288918,0.024324405691612427,0.025652781014769754,0.027008625052523827,0.028397403622317456,0.029783357968349113,0.031183226112381463,0.032603693044474184,0.03401010719641809,0.03538183556752264,0.03675674492451199,0.039512680011990965,0.043571780725499755
Purge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
