,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24,run_25,run_26
PSA,159.9,191.88,223.87,255.85,287.83,319.81,351.79,383.77,415.75,447.73,479.71,511.69,543.67,575.65,607.64,639.62,671.6,703.58,735.56,767.54,799.52,831.5,863.48,895.46,927.44,959.42,991.41
electrolysis,18602.31,22322.77,26043.23,29763.69,33484.15,37204.62,40925.08,44645.54,48366,52086.46,55806.92,59527.38,63247.85,66968.31,70688.77,74409.23,78129.69,81850.15,85570.62,89291.08,93011.54,96732,100452.46,104172.92,107893.38,111613.85,115334.31
N2_comp,329.3,395.16,461.02,526.88,592.74,658.6,724.46,790.32,856.18,922.04,987.9,1053.77,1119.63,1185.49,1251.35,1317.21,1383.07,1448.93,1514.79,1580.65,1646.51,1712.37,1778.23,1844.09,1909.95,1975.81,2041.67
H2_comp,777.99,933.58,1089.18,1244.78,1400.37,1555.97,1711.57,1867.16,2022.76,2178.36,2333.96,2489.55,2645.15,2800.75,2956.34,3111.94,3267.54,3423.13,3578.73,3734.33,3889.93,4045.52,4201.12,4356.72,4512.31,4667.91,4823.51
inflow cooling,550.17,660.21,770.24,880.28,990.31,1100.35,1210.38,1320.42,1430.45,1540.49,1650.52,1760.56,1870.59,1980.63,2090.66,2200.7,2310.73,2420.77,2530.8,2640.84,2750.87,2860.91,2970.94,3080.98,3191.01,3301.05,3411.08
recompressor,2,3.19,4.33,5.76,7.41,9.25,11.33,13.62,16.13,18.82,21.71,24.82,28.14,31.67,35.42,39.38,43.57,47.99,52.67,57.62,62.89,68.57,74.75,81.58,89.26,99.82,116
heater,-262.3,-270.61,-401.31,-496.13,-582.27,-661.2,-736.63,-795.49,-853.6,-910.51,-963.2,-1011.69,-1056.14,-1097.17,-1134.41,-1168.06,-1198.15,-1224.11,-1245.18,-1260.39,-1267.54,-1263.25,-1243.79,-1204.09,-1135.81,-953.59,-559.7
Condenser,2019.58,2397.27,2781.82,3191.84,3609.55,4034.89,4469.34,4912.26,5364.46,5812.09,6265.75,6725.38,7184.41,7650.98,8121.3,8596.32,9074.04,9560.44,10044.1,10538.46,11045,11557.85,12087.52,12642.29,13215.63,13922.98,14849.13
n2_m_s,0.0167,0.02,0.0233,0.0267,0.03,0.0333,0.0367,0.04,0.0433,0.0467,0.05,0.0533,0.0567,0.06,0.0633,0.0667,0.07,0.0733,0.0767,0.08,0.0833,0.0867,0.09,0.0933,0.0967,0.1,0.1033
h2_m_s,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31
