,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24,run_25,run_26
IN,199.9719589897739,199.97195892660528,199.97195886343633,199.97195880026703,199.97195873709734,199.9719586739273,199.97195861075687,199.9719585475861,199.97195848441498,199.97195842124347,199.97195835807162,199.9719582948994,199.9719582317268,199.97195816855384,199.9719581053805,199.97195804220684,199.9719579790328,199.97195791585838,199.9719578526836,199.97195778950848,199.971957726333,199.97195766315713,199.9719575999809,199.9719575368043,199.97195747362736,199.97195741045002,199.97195734727234
1a,199.664374248741,199.57797713148128,199.50842399425082,199.43258866199025,199.3567626892528,199.28104861345514,199.2042031048376,199.127696976024,199.0505965820664,198.97463404025967,198.8986216978006,198.82253455452343,198.7463833932803,198.67019310052638,198.593835359335,198.5174149050072,198.44074612812736,198.36371169571265,198.28607676609937,198.20757318160332,198.12748568981434,198.04484067400742,197.95862836286776,197.86746237865358,197.7690717937699,197.63995733126512,197.45396674127443
1b,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
1c,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
1d,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2a,199.66783023468733,199.57799001894347,199.50844136558177,199.43260786699838,199.35678843968566,199.28107929416961,199.20447193310733,199.12773145560644,199.0506409203269,198.97468463698738,198.8986815891729,198.82260169435244,198.7464544610718,198.67027170502743,198.59392775454248,198.5175100915675,198.44084987397088,198.3638306605714,198.28620563679996,198.20770998387178,198.12762863581105,198.04499991309294,197.9587995428673,197.867642717432,197.76927227098392,197.64017491052132,197.45421965156223
2b,199.66783023468733,199.57799001894347,199.50844136558177,199.43260786699838,199.35678843968566,199.28107929416961,199.20447193310733,199.12773145560644,199.0506409203269,198.97468463698738,198.8986815891729,198.82260169435244,198.7464544610718,198.67027170502743,198.59392775454248,198.5175100915675,198.44084987397088,198.3638306605714,198.28620563679996,198.20770998387178,198.12762863581105,198.04499991309294,197.9587995428673,197.867642717432,197.76927227098392,197.64017491052132,197.45421965156223
2c,199.66782392021216,199.5779799938193,199.50842827537537,199.4325909668013,199.3567673201176,199.28105356520476,199.2044411386644,199.127695171525,199.0505987368699,198.97463629616843,198.8986267259545,198.82253994603047,198.74638546958855,198.6701951206845,198.59384321371238,198.51741724257064,198.44074834007122,198.36372005607785,198.28608553188167,198.20757990657285,198.12748798794365,198.0448479117363,197.95863519484206,197.86746472431443,197.76907883711672,197.6399595167762,197.4539696304683
RE,199.66782392021216,199.5779799938193,199.50842827537537,199.4325909668013,199.3567673201176,199.28105356520476,199.2044411386644,199.127695171525,199.0505987368699,198.97463629616843,198.8986267259545,198.82253994603047,198.74638546958855,198.6701951206845,198.59384321371238,198.51741724257064,198.44074834007122,198.36372005607785,198.28608553188167,198.20757990657285,198.12748798794365,198.0448479117363,197.95863519484206,197.86746472431443,197.76907883711672,197.6399595167762,197.4539696304683
Purge,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
