,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24,run_25,run_26
IN,373.0,373.0,373.0,373.0,373.0,373.0,373.0,373.0,373.0,373.0,373.0,373.0,373.0,373.0,373.0,373.0,373.0,373.0,373.0,373.0,373.0,373.0,373.0,373.0,373.0,373.0,373.0
1a,292.9140775508109,291.81134256410087,291.8383595891633,291.65385788109745,291.5116557419588,291.4035557648604,291.29643852392354,291.2195240943761,291.15564635413176,291.1220862335935,291.09273367043494,291.0671464908419,291.0457671351608,291.0277082401265,291.01012530785266,290.99857896989795,290.99806995781717,290.990635478124,290.98350248062286,290.96799441548296,290.9405629279534,290.8953300461914,290.8251283557059,290.72985195053525,290.58323005922614,290.24903602590297,289.5996005777918
1b,293.1142591773024,292.06218207191233,292.1306184956711,291.99107626285326,291.89385472223233,291.83069870358327,291.76918976531454,291.7376663853993,291.71957486799414,291.73122204311426,291.74712672903775,291.76686105779163,291.7908640850734,291.8182351501861,291.84619665767616,291.88026518757715,291.9255703341936,291.964165777247,292.00344062328276,292.0348529494168,292.0552649080099,292.0593558669487,292.04053166674527,291.9995111043481,291.9112544396631,291.6528138985247,291.11141618828503
1c,699.2135311140541,694.2878314622185,700.1000104007317,702.0262881825897,703.0520194123145,703.5338089151187,703.7427059555403,703.2715265833392,702.8420523258732,702.4744080687074,702.0288740197203,701.5204296581276,700.9647427799918,700.3867650290862,699.7785973221384,699.1513707100654,698.5054810799306,697.8309431976239,697.1134274541898,696.3385028910591,695.4667130640223,694.4441110255807,693.2221975407774,691.74047359245,689.8991788199662,686.4101839461262,680.2947045397441
1d,673.0,673.0,673.0,673.0,673.0,673.0,673.0,673.0,673.0,673.0,673.0,673.0,673.0,673.0,673.0,673.0,673.0,673.0,673.0,673.0,673.0,673.0,673.0,673.0,673.0,673.0,673.0
2a,830.2864180128335,821.7990070631694,827.0610232701976,828.4873546428851,829.6104671979297,830.5130868784114,831.2581406915137,831.479739789499,831.7774379832764,832.2187036698451,832.5951877933971,832.9112945772102,833.1781029335058,833.4123461471678,833.604812006159,833.763801579047,833.8833360180901,833.9576085312019,833.9637708589216,833.8882028243322,833.6780510814166,833.2739371795273,832.614046308924,831.6273205963578,830.2040219667441,826.791346237897,820.2791761424081
2b,407.3911843601726,399.9094227583074,399.06027855356376,398.50028689186325,398.5857202254296,399.0280389693715,399.6653740655576,400.3901710167393,401.2106888917645,402.1021830667835,403.01024330565957,403.9229638838982,404.8337704009179,405.7382204051163,406.6305770190667,407.5130060429826,408.38897625469264,409.24298860230886,410.0794214383139,410.89100491677766,411.67358722781654,412.4218067904098,413.12836888450846,413.79249161234975,414.3931605106425,414.7862945202256,414.87163556699505
2c,272.9996789464955,272.9996954648369,272.99971547409416,272.999404391769,272.9987420994312,272.9996878661392,272.9991127058328,273.0213644499412,273.05066160664103,273.07151766268953,273.09328695486215,273.11188681383044,273.129551881326,273.14600546949794,273.16466282580393,273.18381279873574,273.219787775566,273.24955363266616,273.2826751066069,273.31149588162543,273.3390640463752,273.37078307786186,273.3984523516484,273.4335837845101,273.46788467445754,273.5218688679416,273.5917871282036
RE,272.9996789464955,272.9996954648369,272.99971547409416,272.999404391769,272.9987420994312,272.9996878661392,272.9991127058328,273.0213644499412,273.05066160664103,273.07151766268953,273.09328695486215,273.11188681383044,273.129551881326,273.14600546949794,273.16466282580393,273.18381279873574,273.219787775566,273.24955363266616,273.2826751066069,273.31149588162543,273.3390640463752,273.37078307786186,273.3984523516484,273.4335837845101,273.46788467445754,273.5218688679416,273.5917871282036
Purge,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0
