,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10
IN,0.024999999999999998,0.03333333333333333,0.041666666666666664,0.049999999999999996,0.05833333333333333,0.06666666666666667,0.075,0.08333333333333333,0.09166666666666667,0.09999999999999999,0.10833333333333334
1a,0.17201273904844674,0.2245286426742057,0.2776658544634383,0.32912708712678657,0.3795821639873256,0.4290078120988694,0.47779587559659825,0.5257506658734773,0.5730862800146987,0.6199844736298284,0.7583406818395977
1b,0.17201273904844674,0.2245286426742057,0.2776658544634383,0.32912708712678657,0.3795821639873256,0.4290078120988694,0.47779587559659825,0.5257506658734773,0.5730862800146987,0.6199844736298284,0.7583406818395977
1c,0.17201273904844674,0.2245286426742057,0.2776658544634383,0.32912708712678657,0.3795821639873256,0.4290078120988694,0.47779587559659825,0.5257506658734773,0.5730862800146987,0.6199844736298284,0.7583406818395977
1d,0.17201273904844674,0.2245286426742057,0.2776658544634383,0.32912708712678657,0.3795821639873256,0.4290078120988694,0.47779587559659825,0.5257506658734773,0.5730862800146987,0.6199844736298284,0.7583406818395977
2a,0.14408464349862524,0.19119635439189303,0.23599940375068984,0.2791437748542394,0.32124837439503484,0.36234066476586196,0.4027847633030065,0.4424125912057252,0.48142210724854173,0.5199840180491655,0.6500102418011261
2b,0.14408464349862524,0.19119635439189303,0.23599940375068984,0.2791437748542394,0.32124837439503484,0.36234066476586196,0.4027847633030065,0.4424125912057252,0.48142210724854173,0.5199840180491655,0.6500102418011261
2c,0.14408464349862524,0.19119635439189303,0.23599940375068984,0.2791437748542394,0.32124837439503484,0.36234066476586196,0.4027847633030065,0.4424125912057252,0.48142210724854173,0.5199840180491655,0.6500102418011261
RE,0.14408464349862524,0.19119635439189303,0.23599940375068984,0.2791437748542394,0.32124837439503484,0.36234066476586196,0.4027847633030065,0.4424125912057252,0.48142210724854173,0.5199840180491655,0.6500102418011261
Purge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
