,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10
IN,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.275,0.3,0.325
1a,0.5160382171453411,0.6735859280226194,0.832997563390314,0.9873812613803696,1.1387464919619743,1.2870234362966082,1.4333876267897954,1.5772519976204225,1.7192588400440867,1.8599534208894977,2.2750220455188006
1b,0.5160382171453411,0.6735859280226194,0.832997563390314,0.9873812613803696,1.1387464919619743,1.2870234362966082,1.4333876267897954,1.5772519976204225,1.7192588400440867,1.8599534208894977,2.2750220455188006
1c,0.5160382171453411,0.6735859280226194,0.832997563390314,0.9873812613803696,1.1387464919619743,1.2870234362966082,1.4333876267897954,1.5772519976204225,1.7192588400440867,1.8599534208894977,2.2750220455188006
1d,0.5160382171453411,0.6735859280226194,0.832997563390314,0.9873812613803696,1.1387464919619743,1.2870234362966082,1.4333876267897954,1.5772519976204225,1.7192588400440867,1.8599534208894977,2.2750220455188006
2a,0.4322539304958766,0.5735890631756815,0.7079982112520694,0.8374313245627282,0.9637451231851017,1.0870219942975863,1.208354289909021,1.3272377736171663,1.4442663217456153,1.5599520541475078,1.9500307254033866
2b,0.4322539304958766,0.5735890631756815,0.7079982112520694,0.8374313245627282,0.9637451231851017,1.0870219942975863,1.208354289909021,1.3272377736171663,1.4442663217456153,1.5599520541475078,1.9500307254033866
2c,0.4322539304958766,0.5735890631756815,0.7079982112520694,0.8374313245627282,0.9637451231851017,1.0870219942975863,1.208354289909021,1.3272377736171663,1.4442663217456153,1.5599520541475078,1.9500307254033866
RE,0.4322539304958766,0.5735890631756815,0.7079982112520694,0.8374313245627282,0.9637451231851017,1.0870219942975863,1.208354289909021,1.3272377736171663,1.4442663217456153,1.5599520541475078,1.9500307254033866
Purge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
