,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10
IN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1a,0.011924391713423013,0.01534501862165357,0.0191983322800817,0.022571313066483852,0.026204579676772474,0.029165716217695425,0.0327135100732292,0.03614020209238767,0.03929420449423054,0.04234780835425641,0.053479860789253375
1b,0.011924391713423013,0.01534501862165357,0.0191983322800817,0.022571313066483852,0.026204579676772474,0.029165716217695425,0.0327135100732292,0.03614020209238767,0.03929420449423054,0.04234780835425641,0.053479860789253375
1c,0.011924391713423013,0.01534501862165357,0.0191983322800817,0.022571313066483852,0.026204579676772474,0.029165716217695425,0.0327135100732292,0.03614020209238767,0.03929420449423054,0.04234780835425641,0.053479860789253375
1d,0.011924391713423013,0.01534501862165357,0.0191983322800817,0.022571313066483852,0.026204579676772474,0.029165716217695425,0.0327135100732292,0.03614020209238767,0.03929420449423054,0.04234780835425641,0.053479860789253375
2a,0.06778058281306602,0.0820095951862788,0.10253123370557846,0.12253793761157815,0.1428721588613543,0.16250001088371033,0.18273573466041215,0.20281635142789153,0.22262255002654482,0.24234871951558273,0.27014074086619705
2b,0.06778058281306602,0.0820095951862788,0.10253123370557846,0.12253793761157815,0.1428721588613543,0.16250001088371033,0.18273573466041215,0.20281635142789153,0.22262255002654482,0.24234871951558273,0.27014074086619705
2c,0.011653950220993952,0.01534373293244282,0.019198488566841167,0.02230689348646431,0.026204555890315905,0.029165690241014636,0.03273606596168431,0.03614938668000404,0.039252469126538465,0.04234778243458146,0.05347461120746155
RE,0.011653950220993952,0.01534373293244282,0.019198488566841167,0.02230689348646431,0.026204555890315905,0.029165690241014636,0.03273606596168431,0.03614938668000404,0.039252469126538465,0.04234778243458146,0.05347461120746155
Purge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
