,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10
PSA,239.8560853805566,319.8081138407422,399.76014230092767,479.7121707611132,559.6641992212988,639.6162276814844,719.5682561416698,799.5202846018553,879.472313062041,959.4243415222264,1039.3763699824121
electrolysis,27903.46153846154,37204.61538461539,46505.769230769234,55806.92307692308,65108.07692307692,74409.23076923078,83710.38461538462,93011.53846153847,102312.69230769231,111613.84615384616,120915.0
N2_comp,493.95234716988494,658.6031295598467,823.2539119498083,987.9046943397699,1152.5554767297317,1317.2062591196934,1481.8570415096551,1646.5078238996166,1811.1586062895788,1975.8093886795398,2140.460171069502
H2_comp,1166.977803518554,1555.9704046914055,1944.963005864257,2333.955607037108,2722.9482082099594,3111.940809382811,3500.9334105556627,3889.926011728514,4278.918612901366,4667.911214074216,5056.9038152470675
inflow cooling,825.26249925,1100.3499990000003,1375.4374987500003,1650.5249985,1925.6124982500003,2200.6999980000005,2475.78749775,2750.8749975000005,3025.962497250001,3301.049997,3576.1374967500005
recompressor,24.799319976420872,32.39616576986812,40.102249971723424,47.56429426550259,54.9052213014856,62.082899470296965,69.20614596953223,76.2147407583119,83.13510946090192,89.99753608409141,109.53529385850673
heater,0,0,0,0,0,0,0,0,0,0,836.6764004393184
Condenser,3549.683652476749,4707.432847212051,5973.537611007243,7242.703481771797,8504.159218371313,9765.570080268131,11034.007978606422,12293.887909550493,13565.111797462685,14826.341062510017,17068.920307665943
n2_m_s,0.024999999999999998,0.03333333333333333,0.041666666666666664,0.049999999999999996,0.05833333333333333,0.06666666666666667,0.075,0.08333333333333333,0.09166666666666667,0.09999999999999999,0.10833333333333334
h2_m_s,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.275,0.3,0.325
ammonia_produced,0.05612663259207207,0.06666586225383599,0.08333274513873729,0.10023104412511384,0.11666760297103838,0.13333432064269568,0.14999966869872783,0.1666669647478875,0.18337008090000637,0.20000093708100128,0.2166661296587355
exotherm_reac,3080.019078275549,3683.800227247844,4604.083139187001,5521.55333965344,6442.137153592809,7360.810800816389,8280.029574712373,9197.085549745403,10113.862561865073,11031.414890171829,11892.250772804706
heatloss_reac,301.4702160895715,309.22543624400083,306.93764995958026,304.5718184794295,301.6089297852188,298.92944483207896,295.6032203604267,292.1651974941403,288.7334364432473,285.13918775696084,247.08200705597824
reactor_mol,0.6999753479072108,0.9134595893184787,1.129861750133834,1.33907966157364,1.5445332356260724,1.745196964613173,1.9438970124596229,2.1391428655862876,2.3316393245530156,2.5222857028735826,3.086842588147652
conversion,0.16236062343008015,0.148454504001426,0.15005968520423466,0.15186629793643372,0.1536789531402711,0.15539844602560127,0.15699405567268468,0.15851254230804412,0.1599482939354369,0.16129509662587133,0.14285194323965547
max_reac_temp,862.2142195308492,870.9012058086627,862.7126640010364,859.0448474016705,856.5993622117969,855.0324512946285,853.1840438675214,851.5580096345884,850.2009510145373,848.9400165043751,800.3606778546829
heat_exchanger_power_exchange,9354.818687587287,12294.353640819492,15005.72473988961,17589.634372747245,20077.110598897136,22486.062060616485,24827.36645415146,27101.97405261084,29324.088090171415,31498.92924384409,34917.582586683624
heat_exchanger_effectiveness,0.7894462905452327,0.7824873937589193,0.7748329251374956,0.7684210441908205,0.7628118602295568,0.7578633680488761,0.7533646026817195,0.7492672266898207,0.7454947596184279,0.7419798016612774,0.7334998414043946
ammonia_%_removed,82.8063587869483,81.29031987343596,81.27547297248933,81.79592873745526,81.6587387639706,82.05188413071156,82.08556962188072,82.17629573478624,82.36815222812868,82.52609606552572,80.20490688076258
recycle_ratio_mol,6.8799252421549575,6.85096862875013,6.779176621417603,6.69440996451716,6.619420229159084,6.544481309891736,6.479583730579039,6.417399254508687,6.358929722147352,6.305709636578138,7.123497488643017
recycle_ratio_mass,6.996455164294599,6.966037165815437,6.894358083606935,6.805935263315481,6.731716236694129,6.653843657480495,6.588694980279343,6.525838499623082,6.465973110503782,6.411570389719974,7.2468902933068735
Purged,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
note,did not converge,,,did not converge,,,,,did not converge,,
