,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10
IN,199.97195883185174,199.9719586739273,199.9719585160006,199.97195835807162,199.97195820014036,199.97195804220684,199.97195788427103,199.971957726333,199.97195756839264,199.97195741045002,199.97195725250515
1a,197.9999729769898,197.99995721753902,197.99993810655766,197.99991697857314,197.9998937638096,197.9998688925172,197.99984210049251,197.99981382006303,197.99978407739098,197.9997528292829,197.9996342822509
1b,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
1c,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
1d,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
2a,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0
2b,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0
2c,197.9999739148693,197.9999572172736,197.999938106354,197.99991701070704,197.99989376411534,197.99986889287854,197.99984210232537,197.99981382158532,197.99978408576237,197.99975282973477,197.99963428218322
RE,197.9999739148693,197.9999572172736,197.999938106354,197.99991701070704,197.99989376411534,197.99986889287854,197.99984210232537,197.99981382158532,197.99978408576237,197.99975282973477,197.99963428218322
Purge,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
