,run_0,run_1,run_2,run_3,run_4,run_5
IN,0.0,0.0,0.0,0.0,0.0,0.0
1a,0.008501392852076413,0.017526659792835145,0.027134002754562646,0.03716028591599064,0.05074363752950572,0.13984050278451549
1b,0.008501392852076413,0.017526659792835145,0.027134002754562646,0.03716028591599064,0.05074363752950572,0.13984050278451549
1c,0.008501392852076413,0.017526659792835145,0.027134002754562646,0.03716028591599064,0.05074363752950572,0.13984050278451549
1d,0.008501392852076413,0.017526659792835145,0.027134002754562646,0.03716028591599064,0.05074363752950572,0.13984050278451549
2a,0.041835928179201315,0.08425626123537737,0.12713600641974948,0.1704945454689478,0.21741485249036935,0.3021205498413692
2b,0.041835928179201315,0.08425626123537737,0.12713600641974948,0.1704945454689478,0.21741485249036935,0.3021205498413692
2c,0.008502155320201201,0.017588690231027406,0.027136595791028097,0.03716023188127759,0.05074856830907234,0.14220557267666797
RE,0.008502155320201201,0.017588690231027406,0.027136595791028097,0.03716023188127759,0.05074856830907234,0.13984029639966233
Purge,0.0,0.0,0.0,0.0,0.0,0.0023652762770056328
