,run_0,run_1,run_2,run_3,run_4,run_5
IN,199.9719589897739,199.9719586739273,199.97195835807162,199.97195804220684,199.971957726333,199.97195741045002
1a,199.6431808007528,199.2566076945794,198.86347190071353,198.46518951497217,197.94445736796627,194.99894696899557
1b,200.0,200.0,200.0,200.0,200.0,200.0
1c,200.0,200.0,200.0,200.0,200.0,200.0
1d,200.0,200.0,200.0,200.0,200.0,200.0
2a,199.6431918943216,199.25681906233098,198.86353839072325,198.4652966522646,197.94464747150752,195.0
2b,199.6431918943216,199.25681906233098,198.86353839072325,198.4652966522646,197.94464747150752,195.0
2c,199.64318401944567,199.25679011031585,198.8634768865615,198.46519179880556,197.94446765362298,194.99894697351598
RE,199.64318401944567,199.25679011031585,198.8634768865615,198.46519179880556,197.94446765362298,194.99894697351598
Purge,200.0,200.0,200.0,200.0,200.0,194.99894697351598
