,run_0,run_1,run_2,run_3,run_4,run_5
IN,373.0,373.0,373.0,373.0,373.0,373.0
1a,312.6801053837137,312.1863852816255,311.9576845502099,305.1755148616717,306.07014805342845,306.9846466297044
1b,312.92074797198563,312.69852844703513,312.76639618504805,308.30720980932045,309.2114253961164,310.135936598409
1c,682.6544872551428,693.1692185196214,687.9397661060398,590.3781228669575,591.039335401448,591.7321658745464
1d,673.0,673.0,673.0,673.0,673.0,673.0
2a,806.6605929783407,811.926406354097,809.2038497625797,703.3139689068115,703.7472363972622,704.4402719039796
2b,420.66479907752,415.6371161169731,419.2493199233332,419.1647633109819,419.9126154784284,420.73186689013806
2c,300.15074396826526,300.4821840351912,300.9102867603819,301.44495238547245,301.4281834306779,301.3869686669544
RE,300.15074396826526,300.4821840351912,300.9102867603819,301.44495238547245,301.4281834306779,301.3869686669544
Purge,273.0,273.0,273.0,301.44495238547245,301.4281834306779,301.3869686669544
